Sentence_ID,MT Tool,mt_output,en,ar,Linguistic Shift Type,Subtype,Sub-Subtype,Keyword,Best_Match,Severity_Level,Severity_Score,SubSubtype_WGT,TQA_Category,Shift_Group_Weight,TQA_Category_Weight,tier
2006/s/2006/154/290:2,en_ar_DEEP,تتراوح المواقع من تلك التي تم إنشاؤها للترويج لأفراد معينين، مثل شامل باساييف في الشيشان، أو مجموعات، مثل عسكر الطيبة في باكستان، إلى تلك التي تهدف إلى تبرير الإرهاب المرتبط بتنظيم القاعدة بشكل عام، مثل موقع صوت العالم. الجهاد، أو تقديم التدريب الإرهابي، مثل البتار.,"Sites range from those set up to promote particular individuals, such as Shamil Basayev in Chechnya, or groups, such as Lashkar-E-Tayyiba in Pakistan, to those that aim to justify Al-Qaida-related terrorism in general, such as Voice of Jihad, or offer terrorist training, such as Al-Battar.",وتتراوح المواقع ما بين تلك المنشأة من أجل الترويج لأفراد بعينهم مثل شامِل باساييف في الشيشان أو جماعات بعينها مثل لاشكار الطيبة في باكستان، إلى تلك التي تستهدف تبرير الإرهاب المتصل بتنظيم القاعدة بوجه عام مثل موقع صوت الجهاد، أو تلك التي تقدم التدريب الإرهابي مثل موقع البتّار.,Semantic Divergence,Translation Gap,Name Entity Error,صوت الجهاد,صوت العالم,Severe,4,0.2,Accuracy,0.4,0.45,Tier0
2014/s/2014/740/38:1,en_ar_TRANSFORMERS,29- وصمم المكتب، بالتعاون مع جامعة سيشيل وخبراء من المركز، منهجاً دراسياً لموظفي الشرطة وخفر السواحل وغيرهم من موظفي إنفاذ القانون المشاركين في التحقيق في جرائم القرصنة والجرائم البحرية.,"29. In conjunction with the University of Seychelles and experts from the Centre, UNODC designed a curriculum for police, coastguard and other law enforcement officers involved in investigating piracy and maritime crime.",29 - ووضع مكتب الأمم المتحدة المعني بالمخدرات والجريمة، بالتعاون مع جامعة سيشيل وخبراء من المركز، منهجا دراسيا لأفراد الشرطة وخفر السواحل وغيرهم من ضباط إنفاذ القانون المشاركين في التحقيق في أعمال القرصنة والجرائم البحرية.,Semantic Divergence,Translation Gap,Partial Translation,مكتب الأمم المتحدة  ,المكتب,Severe,4,0.2,Accuracy,0.4,0.45,Tier0
2005/s/2005/60/754:4,en_ar_GOOGLE,كما قاموا بزيارة مراكز الشرطة ومكتب المدعي العام للحصول على معلومات عن أي حالات اغتصاب مسجلة بالفعل.,They also visited police stations and the office of the district attorney in order to obtain information on any cases of rape already registered.,كما زارت مخافر الشرطة ومكتب المدعي العام المحلي للحصول على معلومات عن أي حالات مسجلة بالفعل من حالات الاغتصاب.,Semantic Divergence,Translation Gap,Partial Translation,مكتب المدعي العام ,مكتب المدعي العام للمقاطعة,Severe,4,0.2,Accuracy,0.4,0.45,Tier0
2012/s/prst/2012/24/10:1,en_ar_DEEP,"""ويحث مجلس الأمن الدول والمنظمات الدولية، فضلا عن القطاع الخاص، على تبادل الأدلة والمعلومات والاستخبارات، حسب الاقتضاء، لأغراض إنفاذ قانون مكافحة القرصنة، بما في ذلك ضمان الملاحقة القضائية الفعالة للقراصنة المشتبه فيهم وسجن المدانين منهم. ويشجع المبادرات الحالية والمستقبلية في هذا الصدد.","""The Security Council urges States and international organizations, as well as the private sector to share evidence, information and intelligence, as appropriate, for anti-piracy law enforcement purposes, including for ensuring effective prosecution of suspected, and imprisonment of convicted, pirates, and encourages existing and future initiatives in this regard.","""ويحث مجلس الأمن الدول والمنظمات الدولية، وكذلك القطاع الخاص، على تبادل الأدلة والمعلومات والاستخبارات، حسب الاقتضاء، لأغراض إنفاذ قوانين مكافحة القرصنة، بما في ذلك بهدف ضمان الفعالية في ملاحقة المشتبه فيهم قضائيا، وسجن القراصنة المدانين، ويجع المبادرات المتخذة في هذا الصدد حالياً وفي المستقبل.",Semantic Divergence,Translation Gap,Partial Translation,الملاحقة القضائية الفعالة للقراصنة المشتبه فيهم,محاكمة القراصنة المشتبه,Severe,4,0.2,Accuracy,0.4,0.45,Tier0
2012/s/prst/2012/24/10:1,en_ar_GOOGLE,&quot;ويحث مجلس الأمن الدول والمنظمات الدولية، فضلا عن القطاع الخاص، على تبادل الأدلة والمعلومات والاستخبارات، حسب الاقتضاء، لأغراض إنفاذ قانون مكافحة القرصنة، بما في ذلك ضمان الملاحقة القضائية الفعالة للقراصنة المشتبه فيهم وسجن المدانين منهم. ويشجع المبادرات الحالية والمستقبلية في هذا الصدد.,"""The Security Council urges States and international organizations, as well as the private sector to share evidence, information and intelligence, as appropriate, for anti-piracy law enforcement purposes, including for ensuring effective prosecution of suspected, and imprisonment of convicted, pirates, and encourages existing and future initiatives in this regard.","""ويحث مجلس الأمن الدول والمنظمات الدولية، وكذلك القطاع الخاص، على تبادل الأدلة والمعلومات والاستخبارات، حسب الاقتضاء، لأغراض إنفاذ قوانين مكافحة القرصنة، بما في ذلك بهدف ضمان الفعالية في ملاحقة المشتبه فيهم قضائيا، وسجن القراصنة المدانين، ويجع المبادرات المتخذة في هذا الصدد حالياً وفي المستقبل.",Semantic Divergence,Translation Gap,Partial Translation,الملاحقة القضائية الفعالة للقراصنة المشتبه فيهم,ملاحقة المشتبه فيهم قضائياً,Severe,4,0.2,Accuracy,0.4,0.45,Tier0
2006/s/2006/822/209:8,en_ar_DEEP,ودار تبادل كلامي ساخن بين العقيد ريس والسيد مالك.,Colonel Reis and Mr. Malik had a heated verbal exchange.,ودار جدال شفوي محتدم بين العقيد ريس والسيد مالك.,Semantic Divergence,Idiomatic shift ,Literal Translation,محتدم,ساخن,Major,3,0.1,Accuracy,0.4,0.45,Tier0
2010/s/2010/529/29:2,en_ar_DEEP,وتساعد البعثة أيضا المفرزة الأمنية المتكاملة في إنشاء مكتبة مرجعية ستتضمن مواد دعم تعليمية لتدريب أفراد المفرزة في المستقبل.,MINURCAT is also assisting DIS to establish a reference library that will include educational support materials for the future training of DIS personnel.,كما تساعد البعثة المفرزة على إنشاء مكتبة للمراجع تشمل مواد تعليمية تساعد في تدريب أفراد المفرزة مستقبلا.,Semantic Divergence,Idiomatic shift ,Literal Translation,مكتبة للمراجع ,مكتبة مرجعية,Major,3,0.1,Accuracy,0.4,0.45,Tier0
2005/s/2005/662/363:5,en_ar_DEEP,"دخلت شاحنة الميتسوبيشي كانتر، التي استخدمت كحاملة قنابل، إلى لبنان قادمة من الجمهورية العربية السورية عبر حدود البقاع و""الخط الساخن"" العسكري في 21 كانون الثاني/يناير 2005 الساعة 20/13. وكان يقودها عقيد سوري من الفرقة العاشرة بالجيش.","The Mitsubishi Canter van, which was used as the bomb carrier, entered Lebanon from the Syrian Arab Republic through the Bekaa border and a military ""hot lane"" on 21 January 2005 at 1320 hours. It was driven by a Syrian colonel from the tenth army division.",وكانت شاحنة الميتسوبيشي كانتر، التي استُخدمت لنقل المتفجرات، قد دخلت لبنان من الجمهورية العربية السورية، عبر حدود البقاع، واستخدمت طريقا عسكريا سريعا، يوم 21 كانون الثاني/يناير 2005، الساعة 20/13. وكان يقودها عقيد سوري من الفرقة العاشرة بالجيش.,Semantic Divergence,Idiomatic shift ,Literal Translation, طريقا عسكريا سريعا,الخط الساخن العسكري,Major,3,0.1,Accuracy,0.4,0.45,Tier0
2003/s/2003/398/12:1,en_ar_DEEP,6. كنت مدركًا أنه كان هناك العديد من الفجر الكاذب.,6. I was conscious that there had been many false dawns.,6 - ولقد كنت أدرك أن كثيرا من الدلائل المشجعة الزائفة لاحت من قبل.,Semantic Divergence,Idiomatic shift ,Literal Translation,الدلائل المشجعة الزائفة,الفجر الكاذب,Major,3,0.1,Accuracy,0.4,0.45,Tier0
2005/s/2005/662/363:5,en_ar_TRANSFORMERS,"دخلت شاحنة ميتسوبيشي ستر (Mitsubhishi Cantter) التي كانت تستخدم كحاملة قنابل لبنان من الجمهورية العربية السورية عبر حدود البقاع و""ممر حار"" عسكري في الساعة 20/13 من يوم 21 كانون الثاني/يناير 2005 بقيادة عقيد سوري من الفرقة العسكرية العاشرة.","The Mitsubishi Canter van, which was used as the bomb carrier, entered Lebanon from the Syrian Arab Republic through the Bekaa border and a military ""hot lane"" on 21 January 2005 at 1320 hours. It was driven by a Syrian colonel from the tenth army division.",وكانت شاحنة الميتسوبيشي كانتر، التي استُخدمت لنقل المتفجرات، قد دخلت لبنان من الجمهورية العربية السورية، عبر حدود البقاع، واستخدمت طريقا عسكريا سريعا، يوم 21 كانون الثاني/يناير 2005، الساعة 20/13. وكان يقودها عقيد سوري من الفرقة العاشرة بالجيش.,Semantic Divergence,Idiomatic shift ,Literal Translation, طريقا عسكريا سريعا,ممر حار عسكري,Major,3,0.1,Accuracy,0.4,0.45,Tier0
2014/s/2014/902/124:1,en_ar_DEEPL,محطات المياه o في 23 نوفمبر 2014، قام تنظيم داعش بتفجير سيارة مفخخة بالقرب من محطة تنقية المياه في قرية الميدان في الحسكة، مما ألحق أضرارًا جسيمة بالمحطة. محطات الطاقة,"Water stations o On 23 November 2014, ISIS detonated a car bomb near a purification plant in Midan village, Hasakeh, heavily damaging the plant. Power plants",محطات المياه في 23 تشرين الثاني/نوفمبر 2014، فجّر تنظيم الدولة الإسلامية سيارة مفخخة بالقرب من محطة لتنقية المياه في قرية ميدان بالحسكة مما أدى إلى إلحاق أضرار كبيرة بالمحطة. محطات توليد الطاقة,Semantic Divergence,Granularity Shif,Hypernym for Hyponym,محطات توليد الطاقة,محطات الطاقة,Moderate,2,0.05,Accuracy,0.4,0.45,Tier0
2005/s/2005/686/23:1,en_ar_TRANSFORMERS,(أ) أن يطلب إلى الأمانة أن تقدم معلومات مستكملة عن حالة مسألة احتمال ازدواج التعويضات في الفئتين ألف وجيم لكي يواصل الفريق العامل النظر فيها في اجتماعاته المقبلة، وأن تبقيها مدرجة في جدول أعمال الدورة المقبلة لمجلس الإدارة؛ وأن توافق على طلب الأمانة تمديد ولاية خمسة موظفين حتى 31 كانون الأول/ديسمبر 2005 لتقديم الدعم لخبراء المحاسبين الشرعيين وتنفيذ أي توصيات قد تقدم بشأن احتمال ازدواج التعويضات.,To request the secretariat to provide status updates on the issue of potential duplicate awards in categories A and C for the Working Group's continued consideration at its future meetings and to keep it on the agenda for the next Governing Council session; and that the request by the secretariat be approved for the extension of five staff members to 31 December 2005 to provide support to the forensic accountant experts and to implement any recommendations that may be made concerning potential duplicate awards.,أن يطلب إلى الأمانة أن تقدم تقارير عن المستجدات فيما يتصل بمسالة التعويضات المزدوجة المحتملة من الفئتين ألف وجيم لكي يواصل الفريق العامل النظر فيها خلال اجتماعاته المقبلة، وأن تبقي المسألة على جدول أعمال الدورة التالية لمجس الإدارة، وأن تتم الموافقة على طلب الأمانة تمديد عقود خمسة من الموظفين حتى 31 كانون الأول/ديسمبر 2005، لتقديم الدعم لخبراء المحاسبة في مجال الأدلة الجنائية وتنفيذ أية توصيات يمكن أن تُقدم بخصوص التعويضات المزدوجة المحتملة.,Semantic Divergence,Granularity Shif,Hypernym for Hyponym,تقديم تقارير,تقدم معلومات,Moderate,2,0.05,Accuracy,0.4,0.45,Tier0
2006/s/2006/384/61:1,en_ar_DEEP,أجهزة التتبع الإلكترونية – من خلال وضع نظام قانوني لاستخدام تقنية التحقيق هذه:,Electronic tracking devices - by creating a statutory regime for the use of this investigative technique:,:: أجهزة التعقب الإلكتروني - بإنشاء نظام رسمي لاستخدام هذا الأسلوب من أساليب التحقيق؟,Semantic Divergence,Granularity Shift,Hypernym for Hyponym,   قانوني,رسمي ,Moderate,2,0.05,Accuracy,0.4,0.45,Tier0
2005/s/2005/648/40:2,en_ar_DEEP,وآمل أن تساعد هذه الخطوة الإيجابية في تهيئة مناخ يفضي إلى إنهاء المأزق الحالي وتمهيد الطريق للتقدم الذي طال انتظاره نحو حل سياسي عادل ودائم ومقبول من الطرفين للصراع.,"I hope that this positive step will help to create an atmosphere conducive to ending the current impasse and paving the way for the long-awaited progress towards a just, lasting and mutually acceptable political solution to the conflict.",وآمل أن تساعد هذه الخطوة الإيجابية في خلق مناخ يشجع على وضع حد للمأزق الحالي وتمهيد الطريق لإحراز التقدم الذي طال انتظاره نحو حل سياسي للنزاع يكون عادلا ودائما ومقبولا على نحو متبادل.,Semantic Divergence,Granularity Shift,Hypernym for Hyponym,إحراز التقدم ,للتقدم,Moderate,2,0.05,Accuracy,0.4,0.45,Tier0
2006/s/2006/154/290:2,en_ar_DEEP,تتراوح المواقع من تلك التي تم إنشاؤها للترويج لأفراد معينين، مثل شامل باساييف في الشيشان، أو مجموعات، مثل عسكر الطيبة في باكستان، إلى تلك التي تهدف إلى تبرير الإرهاب المرتبط بتنظيم القاعدة بشكل عام، مثل موقع صوت العالم. الجهاد، أو تقديم التدريب الإرهابي، مثل البتار.,"Sites range from those set up to promote particular individuals, such as Shamil Basayev in Chechnya, or groups, such as Lashkar-E-Tayyiba in Pakistan, to those that aim to justify Al-Qaida-related terrorism in general, such as Voice of Jihad, or offer terrorist training, such as Al-Battar.",وتتراوح المواقع ما بين تلك المنشأة من أجل الترويج لأفراد بعينهم مثل شامِل باساييف في الشيشان أو جماعات بعينها مثل لاشكار الطيبة في باكستان، إلى تلك التي تستهدف تبرير الإرهاب المتصل بتنظيم القاعدة بوجه عام مثل موقع صوت الجهاد، أو تلك التي تقدم التدريب الإرهابي مثل موقع البتّار.,Semantic Divergence,Granularity Shif,Hypernym for Hyponym,جماعات  , مجموعات,Moderate,2,0.05,Accuracy,0.4,0.45,Tier0
2011/s/2011/245/131:3,en_ar_GOOGLE,ولكن على الرغم من أن الفريق لا يرى أن المشورة الفنية شبه العسكرية المتاحة على الإنترنت تمثل تهديدا على قدم المساواة مع التدريب في الحياة الواقعية، فإن الإمكانية ستزداد مع تحسن جودة المشورة.,"But, although the Team does not assess that paramilitary technical advice available on the Internet presents a threat on a par with real-life training, the potential will increase as the quality of advice improves.",ولكن رغم أن الفريق لا يرى أن المشورة التقنية شبه العسكرية المتاحة على الإنترنت تشكل تهديدا يضاهي التدريب الميداني، فإن إمكانياتها تتزايد مع تحسين نوعية المشورة المقدمة.,Semantic Divergence,Granularity Shif,Hyponym for Hypernym,التدريب في الحياة الواقعية,التدريب الميداني,Moderate,2,0.05,Accuracy,0.4,0.45,Tier0
2014/s/2014/740/81:1,en_ar_GOOGLE,67. وأجدد دعوتي إلى الإفراج الفوري وغير المشروط عن جميع البحارة الأبرياء المحتجزين كرهائن في الصومال حتى يتمكنوا من الانضمام إلى أسرهم.,67. I renew my call for the immediate and unconditional release of all innocent seafarers held hostage in Somalia so that they can rejoin their families.,٦٧ - وأجدد دعوتي إلى الإفراج الفوري وغير المشروط عن جميع الملاحين الأبرياء المحتجزين كرهائن في الصومال، لكي يتمكنوا من الانضمام إلى أسرهم.,Semantic Divergence,Granularity Shif,Hyponym for Hypernym,الملاحين,البحارة,Moderate,2,0.05,Accuracy,0.4,0.45,Tier0
2011/s/2011/463/445:1,en_ar_TRANSFORMERS,259 - يتطلب القرار 1373 (2001) من الدول منع تنقل الإرهابيين والجماعات الإرهابية عبر الحدود من خلال فرض ضوابط على إصدار وثائق هوية وسفر مأمونة وصحيحة.,259. Resolution 1373 (2001) requires States to prevent the cross-border movement of terrorists and terrorist groups through controls on the issuance of secure and valid identity and travel documents.,258 - ويُطلب إلى الدول، بموجب القرار 1373 (2001)، منع حركة الإرهابيين والجماعات الإرهابية عبر الحدود وذلك من خلال فرض الضوابط على إصدار وثائق مأمونة وصحيحة للهوية والسفر.,Semantic Divergence,Granularity Shif,Hyponym for Hypernym,حركة ,تنقل,Moderate,2,0.05,Accuracy,0.4,0.45,Tier0
