Eval_ID,Sub_Subtype_A,Q1_A,Q2_A,Q3_A,Q4_A,Q5_A,Q6_A,Q7_A,Sub_Subtype_B,Q1_B,Q2_B,Q3_B,Q4_B,Q5_B,Q6_B,Q7_B
T1G_0023,Progressive to Perfective,1,1,0.4,1,1,4,0,Progressive to Perfective,1.0,1.0,0.7,0.0,1.0,4.0,1.0
T1G_0019,Tanween Omission,1,1,0.2,1,1,5,0,Tanween Omission,1.0,1.0,0.2,1.0,1.0,4.0,1.0
T1G_0055,Tense Shift Under Negation,1,1,0.7,0,0,3,0,Tense Shift Under Negation,1.0,1.0,0.4,0.0,1.0,4.0,1.0
T1G_0021,Progressive to Perfective,1,1,0.4,1,1,5,1,Progressive to Perfective,1.0,1.0,0.7,0.0,1.0,4.0,1.0
T1G_0008,Register Mismatch,1,1,0.2,1,1,3,0,Register Mismatch,1.0,1.0,0.4,0.0,1.0,4.0,0.0
T1G_0043,Passive to Active Voice,1,1,0.2,1,1,5,1,Passive to Active Voice,1.0,1.0,0.2,0.0,1.0,4.0,1.0
T1G_0015,Hypernym for Hyponym,1,1,0.2,1,1,5,1,Hypernym for Hyponym,1.0,1.0,0.2,0.0,1.0,3.0,0.0
T1G_0029,Hyponym for Hypernym,1,1,0.2,1,1,5,1,Hyponym for Hypernym,1.0,1.0,0.2,0.0,1.0,4.0,1.0
T1G_0052,Perfective to Progressive,1,1,0.4,1,1,5,0,Perfective to Progressive,1.0,1.0,0.7,0.0,1.0,4.0,0.0
T1G_0039,Invalid Pattern,1,1,0.4,1,0,3,0,Invalid Pattern,1.0,1.0,0.4,0.0,1.0,4.0,1.0
