eval_id,Sentence_ID,Sub-Subtype,Keyword,Best_Match,ar,mt_output,en,Severity_Score,TQA_Category,tier,source,Q1_Error_Implemented,Q2_Linguistically_Correct,Q3_Minimal_Pair,Q4_Anchor_Accurate,Q5_Naturalness,Q6_Domain_Appropriate,Notes,Annotator_ID,eval_tier,Technical_Score,Quality_Score,Overall_Score,Status,anchor_validity,phenomenon_clarity,arabic_naturalness,collateral_severity,tier2_seed_recommendation
T2_EVAL_0011,TIER2_Hypernym_for_Hyponym_bbcd1b92,Hypernym for Hyponym,تفتيش شامل,تفتيش,حث مجلس الأمن على تنفيذ تفتيش شامل في المواقع المشتبه بها ضمن برنامج نزع السلاح لضمان الالتزام الكامل بالقرارات الدولية.,حث مجلس الأمن على تنفيذ تفتيش في المواقع المشتبه بها ضمن برنامج نزع السلاح لضمان الالتزام الكامل بالقرارات الدولية.,The Security Council urged the implementation of a comprehensive inspection at suspected sites within the disarmament program to ensure full compliance with international resolutions.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
T2_EVAL_0012,TIER2_Hypernym_for_Hyponym_f8067004,Hypernym for Hyponym,البعثة الدبلوماسية,البعثة,رحب الأمين العام بتوسيع نطاق البعثة الدبلوماسية في المنطقة لتعزيز التعاون الثنائي بين الدول الأعضاء.,رحب الأمين العام بتوسيع نطاق البعثة في المنطقة لتعزيز التعاون الثنائي بين الدول الأعضاء.,The Secretary-General welcomed the expansion of the diplomatic mission in the region to enhance bilateral cooperation between member states.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
T2_EVAL_0013,TIER2_Passive_to_Active_Voice_daa40bc0,Passive to Active Voice,نفذت,تم تنفيذ,وأعرب المجلس عن قلقه بشأن العمليات العسكرية التي نفذت في المنطقة دون تنسيق مسبق.,وأعرب المجلس عن قلقه بشأن العمليات العسكرية التي تم تنفيذها في المنطقة دون تنسيق مسبق.,The Council expressed its concern regarding the military operations carried out in the area without prior coordination.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
T2_EVAL_0014,TIER2_Partial_Translation_0618b52c,Partial Translation,مكتب المفوض السامي لحقوق الإنسان,مكتب المفوض السامي,أشار التقرير إلى أن مكتب المفوض السامي لحقوق الإنسان يواصل جهوده في تعزيز الحماية وضمان حقوق الإنسان في المناطق المتضررة.,أشار التقرير إلى أن مكتب المفوض السامي يواصل جهوده في تعزيز الحماية وضمان حقوق الإنسان في المناطق المتضررة.,The report indicated that the Office of the High Commissioner for Human Rights continues its efforts to promote protection and ensure human rights in affected areas.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
T2_EVAL_0015,TIER2_Hypernym_for_Hyponym_a57f292a,Hypernym for Hyponym,التنمية المستدامة,التنمية,أيد المجلس تعزيز الحوكمة من خلال تنفيذ برامج التنمية المستدامة لضمان تحقيق السلام والأمن في المنطقة.,أيد المجلس تعزيز الحوكمة من خلال تنفيذ برامج التنمية لضمان تحقيق السلام والأمن في المنطقة.,The council supported enhancing governance through the implementation of sustainable development programs to ensure peace and security in the region.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
T2_EVAL_0016,TIER2_Register_Mismatch_b43ad790,Register Mismatch,السفير,المبعوث,رحب الأمين العام بتعيين السفير الجديد لبعثة الأمم المتحدة في الصومال لتعزيز جهود الوساطة في المنطقة.,رحب الأمين العام بتعيين المبعوث الجديد لبعثة الأمم المتحدة في الصومال لتعزيز جهود الوساطة في المنطقة.,The Secretary-General welcomed the appointment of the new ambassador of the United Nations Mission in Somalia to strengthen mediation efforts in the region.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
T2_EVAL_0017,TIER2_Partial_Translation_b2f04eb5,Partial Translation,التنسيق المشترك بين الدول الأعضاء,التنسيق بين الدول الأعضاء,رحب المجلس بالتنسيق المشترك بين الدول الأعضاء لتعزيز التعاون في مجالات الأمن الإقليمي.,رحب المجلس بالتنسيق بين الدول الأعضاء لتعزيز التعاون في مجالات الأمن الإقليمي.,The council welcomed the joint coordination between member states to enhance cooperation in regional security fields.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
T2_EVAL_0018,TIER2_Wrong_Word_Order_16d4e5e4,Wrong Word Order,السفير الدائم,الدائم السفير,يرحب المجلس بتعيين السفير الدائم الجديد لدى الأمم المتحدة، ويؤكد على أهمية تعزيز العلاقات الدبلوماسية بين الدول الأعضاء.,يرحب المجلس بتعيين الدائم السفير الجديد لدى الأمم المتحدة، ويؤكد على أهمية تعزيز العلاقات الدبلوماسية بين الدول الأعضاء.,The council welcomes the appointment of the new permanent ambassador to the United Nations and underscores the importance of strengthening diplomatic relations among member states.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,4.0,1.0,1.0
T2_EVAL_0019,TIER2_Adjective_to_Noun_f94fbb8f,Adjective to Noun,العاجلة,العجلة,طالب المجلس بتقديم المساعدات العاجلة للاجئين لضمان حمايتهم من المخاطر التي يواجهونها.,طالب المجلس بتقديم المساعدات العجلة للاجئين لضمان حمايتهم من المخاطر التي يواجهونها.,The council called for urgent assistance to refugees to ensure their protection from the risks they face.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,2.0,1.0,0.0
T2_EVAL_0020,TIER2_Terminology_Substitution_e535e1c7,Terminology Substitution,الممثل الدائم,المندوب الدائم,ناشد الممثل الدائم للأمم المتحدة كافة الدول الأعضاء بالالتزام بالقرارات الدولية المتعلقة بحقوق الإنسان.,ناشد المندوب الدائم للأمم المتحدة كافة الدول الأعضاء بالالتزام بالقرارات الدولية المتعلقة بحقوق الإنسان.,The Permanent Representative to the United Nations urged all member states to adhere to international decisions related to human rights.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
T2_EVAL_0021,TIER2_Hypernym_for_Hyponym_a0af89ef,Hypernym for Hyponym,مراكز التغذية,المراكز,أوصى التقرير بزيادة دعم مراكز التغذية في المناطق النائية لتقديم المساعدات الإنسانية الضرورية للأطفال والأمهات.,أوصى التقرير بزيادة دعم المراكز في المناطق النائية لتقديم المساعدات الإنسانية الضرورية للأطفال والأمهات.,The report recommended increasing support for nutrition centers in remote areas to provide essential humanitarian aid for children and mothers.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
T2_EVAL_0022,TIER2_Meaning_Shift_621176b2,Meaning Shift,الانتهاكات,الاعتداءات,تؤكد اللجنة ضرورة التحقيق الفوري في الانتهاكات التي ترتكبها الجماعات المسلحة في المنطقة والتأكد من توفر الحماية للمدنيين.,تؤكد اللجنة ضرورة التحقيق الفوري في الاعتداءات التي ترتكبها الجماعات المسلحة في المنطقة والتأكد من توفر الحماية للمدنيين.,The committee emphasizes the urgent need to investigate the violations committed by armed groups in the region and ensure the protection of civilians.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,4.0,4.0,5.0,1.0,1.0
T2_EVAL_0023,TIER2_Adjective_to_Noun_bde13c42,Adjective to Noun,الضرورية,ضرورة,أشار الأمين العام إلى الخطوات الضرورية لتعزيز الأمن والاستقرار في المنطقة.,أشار الأمين العام إلى الخطوات ضرورة لتعزيز الأمن والاستقرار في المنطقة.,The Secretary-General pointed out the necessary steps to enhance security and stability in the region.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,2.0,1.0,0.0
T2_EVAL_0024,TIER2_Hyponym_for_Hypernym_da01c9fa,Hyponym for Hypernym,المراقبة الجوية,الرصد الجوي,رحب المجلس بتعزيز المراقبة الجوية على الحدود لضمان الأمن والسلامة في المنطقة.,رحب المجلس بتعزيز الرصد الجوي على الحدود لضمان الأمن والسلامة في المنطقة.,The council welcomed the enhancement of aerial surveillance at the borders to ensure security and safety in the region.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
T2_EVAL_0025,TIER2_Passive_to_Active_Voice_000d138b,Passive to Active Voice,أُنجز,تم إنجاز,أعرب المجلس عن تقديره للجهود التي أُنجزت في إطار مكافحة الإرهاب في المنطقة.,أعرب المجلس عن تقديره للجهود التي تم إنجازها في إطار مكافحة الإرهاب في المنطقة.,The Council expressed its appreciation for the efforts accomplished in the framework of combating terrorism in the region.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
T2_EVAL_0026,TIER2_Invalid_Pattern_acd016cb,Invalid Pattern,الأمان,الأمن,وأعاد السفير التأكيد على أهمية تحقيق الاستقرار في المنطقة من خلال تعزيز الأمان والتعاون بين الدول الأعضاء في الأمم المتحدة.,وأعاد السفير التأكيد على أهمية تحقيق الاستقرار في المنطقة من خلال تعزيز الأمن والتعاون بين الدول الأعضاء في الأمم المتحدة.,The ambassador reiterated the importance of achieving stability in the region by enhancing safety and cooperation among the member states of the United Nations.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
T2_EVAL_0027,TIER2_Progressive_to_Perfective_61e613c5,Progressive to Perfective,كانت تعمل,عملت,حث الأمين العام الدول الأعضاء على تقديم الدعم للبعثة التي كانت تعمل على إزالة الألغام في المناطق المتنازع عليها في الصحراء الغربية.,حث الأمين العام الدول الأعضاء على تقديم الدعم للبعثة التي عملت على إزالة الألغام في المناطق المتنازع عليها في الصحراء الغربية.,The Secretary-General urged Member States to provide support to the mission that was working on demining in the disputed areas of Western Sahara.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
T2_EVAL_0028,TIER2_Terminology_Substitution_23430722,Terminology Substitution,أعمال الإغاثة,أعمال الدعم,أوصى التقرير بضرورة تحسين أعمال الإغاثة في المناطق المتأثرة بالنزاعات لتخفيف معاناة المدنيين.,أوصى التقرير بضرورة تحسين أعمال الدعم في المناطق المتأثرة بالنزاعات لتخفيف معاناة المدنيين.,The report recommended improving relief efforts in conflict-affected areas to alleviate the suffering of civilians.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
T2_EVAL_0029,TIER2_Terminology_Substitution_4fffaf19,Terminology Substitution,الإغاثة الإنسانية,المساعدات الإنسانية,ناشدت الأمم المتحدة بتقديم الإغاثة الإنسانية العاجلة للمتضررين من الكوارث الطبيعية في المنطقة.,ناشدت الأمم المتحدة بتقديم المساعدات الإنسانية العاجلة للمتضررين من الكوارث الطبيعية في المنطقة.,The United Nations appealed for urgent humanitarian relief for those affected by natural disasters in the region.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
T2_EVAL_0030,TIER2_Gender_Disagreement_913b334c,Gender Disagreement,الضحايا,الضحية,واستذكر المجلس بقلق شديد الحالة الإنسانية المتردية في المنطقة، وخاصة وضع الضحايا الذين يعانون من العنف المستمر.,واستذكر المجلس بقلق شديد الحالة الإنسانية المتردية في المنطقة، وخاصة وضع الضحية الذين يعانون من العنف المستمر.,"The Council recalled with grave concern the deteriorating humanitarian situation in the region, especially the condition of the victims suffering from ongoing violence.",,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,3.0,1.0,1.0
T2_EVAL_0031,TIER2_Total_Omission_f1332516,Total Omission,الأسلحة الكيميائية,[OMITTED],وأعاد التقرير التأكيد على ضرورة تدمير الأسلحة الكيميائية وفقًا للمعايير الدولية المعتمدة.,وأعاد التقرير التأكيد على ضرورة تدمير وفقًا للمعايير الدولية المعتمدة.,The report reaffirmed the necessity of destroying chemical weapons according to the approved international standards.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,4.0,1.0,1.0
T2_EVAL_0032,TIER2_Hyponym_for_Hypernym_b07b286c,Hyponym for Hypernym,التجمعات,الاجتماعات,دعا المجتمع الدولي إلى تنظيم التجمعات السنوية للبحث في سبل تحسين المساعدات الإنسانية للاجئين وضمان الحماية لهم.,دعا المجتمع الدولي إلى تنظيم الاجتماعات السنوية للبحث في سبل تحسين المساعدات الإنسانية للاجئين وضمان الحماية لهم.,The international community called for organizing annual gatherings to explore ways to improve humanitarian aid for refugees and ensure their protection.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
T2_EVAL_0033,TIER2_Literal_Translation_011ca17e,Literal Translation,يد واحدة لا تصفق,يد واحدة لا تفي بالغرض,أعرب المجتمع الدولي عن قلقه، مشيرا إلى أن يد واحدة لا تصفق في مواجهة الأزمة الإنسانية المتفاقمة بين النازحين.,أعرب المجتمع الدولي عن قلقه، مشيرا إلى أن يد واحدة لا تفي بالغرض في مواجهة الأزمة الإنسانية المتفاقمة بين النازحين.,"The international community expressed its concern, noting that one hand is insufficient in facing the escalating humanitarian crisis among the displaced.",,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,2.0,3.0,4.0,1.0,0.0
T2_EVAL_0034,TIER2_Terminology_Substitution_9b6f8679,Terminology Substitution,التعاون الثنائي,التعاون المشترك,تحث الجمعية الدول الأعضاء على تعزيز التعاون الثنائي في المجالات الاقتصادية والاجتماعية لتحقيق التنمية المستدامة.,تحث الجمعية الدول الأعضاء على تعزيز التعاون المشترك في المجالات الاقتصادية والاجتماعية لتحقيق التنمية المستدامة.,The Assembly urges member states to enhance bilateral cooperation in economic and social fields to achieve sustainable development.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
T2_EVAL_0035,TIER2_Total_Omission_c8d7282c,Total Omission,الاستراتيجية الإقليمية,[OMITTED],أوصى الاجتماع بتعزيز الاستراتيجية الإقليمية لدعم السلام والأمن والاستقرار في المنطقة.,أوصى الاجتماع بتعزيز لدعم السلام والأمن والاستقرار في المنطقة.,"The meeting recommended enhancing the regional strategy to support peace, security, and stability in the region.",,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,4.0,1.0,1.0
T2_EVAL_0036,TIER2_Wrong_Word_Order_049a783f,Wrong Word Order,التزامات المعاهدة الدولية,التزامات الدولية المعاهدة,تؤكد اللجنة على ضرورة تنفيذ التزامات المعاهدة الدولية لضمان التعاون بين الدول الأعضاء في معالجة القضايا العالمية.,تؤكد اللجنة على ضرورة تنفيذ التزامات الدولية المعاهدة لضمان التعاون بين الدول الأعضاء في معالجة القضايا العالمية.,The committee emphasizes the necessity of implementing international treaty obligations to ensure cooperation among member states in addressing global issues.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
T2_EVAL_0037,TIER2_Wrong_Word_Order_ed6acff4,Wrong Word Order,الحوار السلمي البناء,السلمي الحوار البناء,رحب السفير بجهود الوساطة المبذولة لتعزيز الحوار السلمي البناء بين الأطراف المتنازعة في المنطقة.,رحب السفير بجهود الوساطة المبذولة لتعزيز السلمي الحوار البناء بين الأطراف المتنازعة في المنطقة.,The ambassador welcomed the mediation efforts to promote constructive peaceful dialogue among the conflicting parties in the region.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,4.0,1.0,1.0
T2_EVAL_0038,TIER2_Invalid_Pattern_9962cc9a,Invalid Pattern,الانتهاكات,الانتهاك,أوصى مجلس الأمن بضرورة التحقيق في جميع الانتهاكات التي تحدث في مناطق النزاع لضمان محاسبة المسؤولين عنها وتعزيز السلام.,أوصى مجلس الأمن بضرورة التحقيق في جميع الانتهاك التي تحدث في مناطق النزاع لضمان محاسبة المسؤولين عنها وتعزيز السلام.,The Security Council recommended the need to investigate all violations occurring in conflict areas to ensure accountability and promote peace.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,4.0,1.0,1.0
T2_EVAL_0039,TIER2_Perfective_to_Progressive_42dec4a6,Perfective to Progressive,أعرب,يعرب,وأعرب الأمين العام عن قلقه إزاء تدهور الوضع الأمني في المنطقة وتأثيره السلبي على الاستقرار الإقليمي.,ويعرب الأمين العام عن قلقه إزاء تدهور الوضع الأمني في المنطقة وتأثيره السلبي على الاستقرار الإقليمي.,The Secretary-General expressed his concern about the deterioration of the security situation in the region and its negative impact on regional stability.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
T2_EVAL_0040,TIER2_Adjective_to_Noun_fab33941,Adjective to Noun,الدبلوماسية,الدبلوماسي,أشار التقرير إلى أهمية الجهود الدبلوماسية في حل النزاع الإقليمي لتحقيق الاستقرار والسلام.,أشار التقرير إلى أهمية الجهود الدبلوماسي في حل النزاع الإقليمي لتحقيق الاستقرار والسلام.,The report highlighted the importance of diplomatic efforts in resolving the regional conflict to achieve stability and peace.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,3.0,1.0,1.0
T2_EVAL_0041,TIER2_Meaning_Shift_d51573e4,Meaning Shift,السلوك العدواني,السلوك الدفاعي,يرحب مجلس الأمن بالمبادرات الرامية إلى الحد من السلوك العدواني في المنطقة لتعزيز الاستقرار والسلام.,يرحب مجلس الأمن بالمبادرات الرامية إلى الحد من السلوك الدفاعي في المنطقة لتعزيز الاستقرار والسلام.,The Security Council welcomes initiatives aimed at curbing aggressive behavior in the region to enhance stability and peace.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
T2_EVAL_0042,TIER2_Active_to_Passive_Voice_1dc23229,Active to Passive Voice,نفذت القرارات,تم تنفيذ القرارات,يقرر أن الحكومة نفذت القرارات المتعلقة بالإلزام القانوني بدقة وشفافية.,يقرر أن تم تنفيذ القرارات المتعلقة بالإلزام القانوني بدقة وشفافية.,It is decided that the government implemented the decisions related to legal compliance with accuracy and transparency.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
T2_EVAL_0043,TIER2_Meaning_Shift_9506abf6,Meaning Shift,الاتفاقية,المعاهدة,أعربت الدول الأعضاء عن التزامها بتعزيز التعاون بموجب الاتفاقية الدولية لمكافحة تمويل الإرهاب لضمان السلام والأمن الدوليين.,أعربت الدول الأعضاء عن التزامها بتعزيز التعاون بموجب المعاهدة الدولية لمكافحة تمويل الإرهاب لضمان السلام والأمن الدوليين.,The member states expressed their commitment to enhancing cooperation under the international agreement to combat terrorism financing to ensure international peace and security.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,4.0,4.0,5.0,1.0,1.0
T2_EVAL_0044,TIER2_Active_to_Passive_Voice_28797ef3,Active to Passive Voice,أكدت اللجنة,أُكِّد من قبل اللجنة,وأكدت اللجنة على أهمية تحقيق السلام والاستقرار في المنطقة من خلال الحوار الدبلوماسي.,أُكِّد من قبل اللجنة على أهمية تحقيق السلام والاستقرار في المنطقة من خلال الحوار الدبلوماسي.,The committee emphasized the importance of achieving peace and stability in the region through diplomatic dialogue.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
T2_EVAL_0045,TIER2_Wrong_Structure_cbe28fd9,Wrong Structure,الالتزام بتقديم الإغاثة,التزام بتقديم المساعدة,أعربت اللجنة عن قلقها إزاء عدم الالتزام بتقديم الإغاثة الإنسانية الفورية للنازحين في المناطق المتضررة من النزاع.,أعربت اللجنة عن قلقها إزاء عدم التزام بتقديم المساعدة الإنسانية الفورية للنازحين في المناطق المتضررة من النزاع.,The committee expressed concern over the lack of commitment to providing immediate humanitarian relief to the displaced in conflict-affected areas.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
T2_EVAL_0046,TIER2_Hypernym_for_Hyponym_7925ae6b,Hypernym for Hyponym,الاستجابة الإنسانية,الاستجابة,أعلن التقرير أن الأزمة الحالية تتطلب الاستجابة الإنسانية السريعة لضمان توفير الاحتياجات الأساسية للاجئين في المنطقة المتضررة.,أعلن التقرير أن الأزمة الحالية تتطلب الاستجابة السريعة لضمان توفير الاحتياجات الأساسية للاجئين في المنطقة المتضررة.,The report announced that the current crisis requires a rapid humanitarian response to ensure the provision of basic needs for refugees in the affected area.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
