Sentence_ID,MT_Tool,seed_source,error_label,keyword,best_match,ocs_match_rule,clean_ar,error_ar,ocs,cps,sfr,csr,anchor_validity,phenomenon_clarity,arabic_naturalness,collateral_severity,tier2_seed_recommendation,tier2_seed_recommendation_final,cell15_status
2000/s/2000/1190/60:5,en_ar_TRANSFORMERS,TIER1_CLEAN_A,Total Omission,الأخرى,[OMITTED],exact,كما أكد أعضاء المجلس عزمهم على كفالة امتثال طالبان، امتثالا كاملا، وبدون شروط، لالتزاماتها بموجب القرار 1267 والقرارات الأخرى ذات الصلة، وعلى بحث فرض مزيد من التدابير المحددة الهدف في هذا الخصوص.,وأكد أعضاء المجلس أيضا تصميمهم على كفالة امتثال الطالبان امتثالا تاما، دون شروط، لالتزاماتها بموجب القرار 1267 (1999) وغيره من القرارات ذات الصلة، والنظر في فرض مزيد من التدابير المحددة الأهداف في هذا الصدد.,1.0,0.7681159420289855,0.8889285326004028,0.7536231884057971,5,5,5,2,1,1,success
2000/s/2000/1190/60:5,en_ar_TRANSFORMERS,TIER1_CLEAN_A,Total Omission,الأخرى,[OMITTED],exact,كما أكد أعضاء المجلس عزمهم على كفالة امتثال طالبان، امتثالا كاملا، وبدون شروط، لالتزاماتها بموجب القرار 1267 والقرارات الأخرى ذات الصلة، وعلى بحث فرض مزيد من التدابير المحددة الهدف في هذا الخصوص.,وأكد أعضاء المجلس أيضا تصميمهم على كفالة امتثال الطالبان امتثالا تاما، دون شروط، لالتزاماتها بموجب القرار 1267 (1999) وغيره من القرارات ذات الصلة، والنظر في فرض مزيد من التدابير المحددة الأهداف في هذا الصدد.,1.0,0.7681159420289855,0.8889285326004028,0.7536231884057971,5,5,5,2,1,1,success
2000/s/2000/1196/40:4,en_ar_TRANSFORMERS,TIER1_CLEAN_A,Total Omission,تابع,[OMITTED],both_ال_ة,وقد ساندت وحدات الشرطة الخاصة جمارك البعثة وقدمت الدعم إلى أفرقة العمليات الخاصة التابعة لشرطة البعثة.,ودعمت وحدات الشرطة الخاصة جمارك البعثة وقدمت الدعم لأفرقة العمليات الخاصة لشرطة البعثة.,1.0,0.8673469387755102,0.9662137627601624,0.8333333333333334,5,5,5,1,1,1,success
2000/s/2000/1196/77:2,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,تابع,[OMITTED],both_ال_ة,وقد أعد المركز استراتيجية انسحاب لمعالجة نقل المسؤوليات، بما في ذلك مواصلة إزالة أي أخطار متبقية، ونشر الوعي بخطر الألغام ومساعدة الضحايا، إلى الإدارات المناسبة التابعة للهيكل الإداري المؤقت المشترك.,وقد أعد المركز استراتيجية خروج لمعالجة نقل المسؤوليات، بما في ذلك مواصلة إزالة أي تهديد متبقي، والتوعية بالألغام ومساعدة الضحايا، إلى الإدارات المختصة في JIAS.,1.0,0.7076923076923076,0.9444370269775392,0.6984924623115578,5,5,4,3,1,1,success
2000/s/2000/1198/35:2,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,حالة,[OMITTED],prefix_ال,وإذا ما أضافت المحكمة إلى مسؤولياتها مجالا جديدا بأكمله من مجالات القانون المتعلق بالتعويض فلن يتعين على المحكمة في تلك الحالة أن تستنبط فقها قضائيا جديدا فحسب وإنما يتعين عليها أيضا أن توسِّـع ملاكها الوظيفي إلى حد كبير وأن تضع لوائح وإجراءات جديدة لتقييم المطالبات.,إذا أضافت المحكمة إلى مسؤولياتها مجالًا جديدًا تمامًا من القانون يتعلق بالتعويض، فلن يتعين على المحكمة تطوير فقه قضائي جديد فحسب؛ وسيتعين عليها أيضًا توسيع عدد موظفيها بشكل كبير ووضع قواعد وإجراءات جديدة لتقييم المطالبات.,1.0,0.6996197718631179,0.954709768295288,0.6891385767790262,5,5,4,2,1,1,success
2000/s/2000/596/35:1,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,تابع,[OMITTED],suffix_ان,13 - تأخر في الحضور ضابطان تابعان لقوات الدفاع الشعبية لأوغندا وأربعة من موظفي الدعم كان من المفترض أن يشكلوا جزءا من مركز القيادة المشتركة في كيسانغاني، وفقا لأمر التنفيذ، وذلك لأسباب خارجة عن إرادتهم أو عن إرادة قوات الدفاع الشعبية لأوغندا.,13 - تم الإبلاغ عن تأخير ضابطين من قوات الدفاع الشعبي الأوغندية وأربعة من أفراد الدعم الذين كان من المفترض أن يكونوا جزءا من مركز القيادة المشتركة في كيسانغاني، تنفيذا لأمر الإعدام، لأسباب خارجة عن سيطرتهم أو عن سيطرة قوات الدفاع الشعبية الأوغندية.,1.0,0.75,0.9258744716644288,0.7338709677419355,5,5,4,3,1,1,success
2000/s/ac_26/2000/19/459:1,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,جوي,[OMITTED],prefix_ال,"أ) ""رسم السفر الجوي من عمان إلى الوطن""","أ. ""تذكرة الطيران من عمان إلى الوطن""",1.0,0.7222222222222222,0.8912123441696167,0.6578947368421053,5,5,5,2,1,1,success
2000/s/ac_26/2000/20/310:6,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,بموجب,[OMITTED],exact,ولم ترد الشركة على الإخطار الموجه بموجب المادة 15.,ولم يرد ستادلر على الإخطار المنصوص عليه في المادة 15.,1.0,0.6981132075471699,0.8235256671905518,0.6603773584905661,5,5,4,2,1,1,success
2000/s/agenda/4173/4:1,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,حالة,[OMITTED],prefix_ال,2 - الحالة في سيراليون.,2. الوضع في سيراليون.,1.0,0.7619047619047619,0.9609196782112122,0.7391304347826086,5,5,5,1,1,1,success
2000/s/agenda/4244/4:1,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,حالة,[OMITTED],prefix_ال,2 - الحالة في تيمور الشرقية.,2. الوضع في تيمور الشرقية,1.0,0.76,0.9195135831832886,0.75,5,5,5,1,1,1,success
2000/s/res/1296_2000_/8:1,en_ar_DEEPL,TIER1_CLEAN_A,Register Mismatch,ترمي إلى,تهدف إلى,exact_seq,وإذ يضع في اعتباره مسؤوليته الرئيسية بموجب ميثاق الأمم المتحدة عن صون السلم والأمن الدوليين، وإذ يؤكد أهمية اتخاذ تدابير ترمي إلى منع نشوب الصراعات وتسويتها،,وإذ يضع في اعتباره مسؤوليته الرئيسية بموجب ميثاق الأمم المتحدة عن صون السلم والأمن الدوليين، وإذ يؤكد أهمية اتخاذ تدابير تهدف إلى منع نشوب النزاعات وحلها،,1.0,0.953020134228188,0.9920966625213624,0.9363057324840764,5,5,5,2,1,1,success
2001/s/2001/68/71:1,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,خاص,[OMITTED],both_ال_ان,2 - العهدان الدوليان الخاصان بحقوق الإنسان,2. العهدان الدوليان لحقوق الإنسان,1.0,0.8205128205128205,0.971472978591919,0.7619047619047619,5,5,5,1,1,1,success
2001/s/ac_26/2001/12/842:2,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,تابع,[OMITTED],both_ال_ة,"وأكدت شركة فوساس أن ""الهياكل والمعدات المصنعة لأجل مصنع المأمون خُزنت في العراء في ورشات التصنيع التابعة للشركة في تركيا"".","وأكدت فوساس أن ""الهياكل والمعدات المصنعة لمصنع المأمون تم تخزينها في الهواء الطلق في ورشة تصنيع فوساس في تركيا"".",1.0,0.6694915254237288,0.9402856826782228,0.6557377049180328,5,5,4,3,1,1,success
2001/s/agenda/4265/4:1,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,حالة,[OMITTED],prefix_ال,2 - الحالة في تيمور الشرقية,2. الوضع في تيمور الشرقية,1.0,0.8,0.9652382135391236,0.7777777777777778,5,5,5,1,1,1,success
2001/s/agenda/4351/4:1,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,حالة,[OMITTED],prefix_ال,2 - الحالة في تيمور الشرقية,2. الوضع في تيمور الشرقية,1.0,0.8,0.9652382135391236,0.7777777777777778,5,5,5,1,1,1,success
2001/s/res/1373_2001_/10:1,en_ar_DEEP,TIER1_CLEAN_A,Terminology Substitution,يهيب,يدعو,exact,وإذ يهيب بجميع الدول العمل معا على نحو عاجل على منع الأعمال الإرهابية والقضاء عليها، بما في ذلك من خلال التعاون المتزايد والتنفيذ الكامل للاتفاقيات الدولية ذات الصلة بالإرهاب،,وإذ يدعو الدول إلى العمل معا على وجه السرعة لمنع وقمع الأعمال الإرهابية، بما في ذلك من خلال زيادة التعاون والتنفيذ الكامل للاتفاقيات الدولية ذات الصلة المتعلقة بالإرهاب،,1.0,0.6666666666666667,0.9739049673080444,0.6571428571428571,5,5,5,2,1,1,success
2001/s/res/1373_2001_/30:1,en_ar_DEEPL,TIER1_CLEAN_A,Total Omission,خاص,[OMITTED],suffix_ة,(ج) التعاون، بصفة خاصة من خلال ترتيبات واتفاقات ثنائية ومتعددة الأطراف، على منع وقمع الاعتداءات الإرهابية واتخاذ إجراءات ضد مرتكبي تلك الأعمال؛,(ج) التعاون، ولا سيما من خلال ترتيبات واتفاقات ثنائية ومتعددة الأطراف، لمنع وقمع الهجمات الإرهابية واتخاذ إجراءات ضد مرتكبي هذه الأعمال;,1.0,0.85,0.9908037185668944,0.8531468531468531,5,5,4,2,1,1,success
2002/s/2001/1339/195:1,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,خاص,[OMITTED],both_ال_ة,1 - الاتفاقية الخاصة بالجرائم وبعض الأفعال الأخرى المرتكبة على متن الطائرات (طوكيو، 1963)؛,1 - الاتفاقية المتعلقة بالجرائم وبعض الأفعال الأخرى المرتكبة على متن الطائرات (طوكيو، 1963)؛,1.0,0.9456521739130436,0.999376654624939,0.9456521739130436,5,5,5,1,1,1,success
2002/s/2002/1046/46:1,en_ar_DEEPL,TIER1_CLEAN_A,Total Omission,الأخرى,[OMITTED],exact,9 - تزوير العملة أو وسائل الدفع الأخرى أو الأسناد العامة أو الأوراق ذات القيمة أو الوثائق والصكوك الرسمية.,9. تزييف العملة أو غيرها من وسائل الدفع أو السندات الحكومية أو الأوراق ذات القيمة أو المستندات أو الصكوك الرسمية;,1.0,0.7256637168141593,0.9306378364562988,0.6725663716814159,5,5,4,2,1,1,success
2002/s/2002/1046/46:1,en_ar_DEEPL,TIER1_CLEAN_A,Total Omission,الأخرى,[OMITTED],exact,9 - تزوير العملة أو وسائل الدفع الأخرى أو الأسناد العامة أو الأوراق ذات القيمة أو الوثائق والصكوك الرسمية.,9. تزييف العملة أو غيرها من وسائل الدفع أو السندات الحكومية أو الأوراق ذات القيمة أو المستندات أو الصكوك الرسمية;,1.0,0.7256637168141593,0.9306378364562988,0.6725663716814159,5,5,4,2,1,1,success
2002/s/2002/1137/49:4,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,الأخرى,[OMITTED],exact,والأطراف الأخرى في الاتفاقية، إلى جانب بنغلاديش، هي مملكة بوتان، وجمهورية الهند، وجمهورية ملديف، ومملكة نيبال، وجمهورية باكستان الإسلامية، وجمهورية سري لانكا الاشتراكية الديمقراطية.,وبخلاف بنغلاديش، فإن الأطراف في الاتفاقية هي مملكة بوتان، وجمهورية الهند، وجمهورية المالديف، ومملكة نيبال، وجمهورية باكستان الإسلامية، وجمهورية سريلانكا الديمقراطية الاشتراكية.,1.0,0.7272727272727273,0.9615629315376282,0.7237569060773481,5,5,5,2,1,1,success
2002/s/2002/1137/49:4,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,الأخرى,[OMITTED],exact,والأطراف الأخرى في الاتفاقية، إلى جانب بنغلاديش، هي مملكة بوتان، وجمهورية الهند، وجمهورية ملديف، ومملكة نيبال، وجمهورية باكستان الإسلامية، وجمهورية سري لانكا الاشتراكية الديمقراطية.,وبخلاف بنغلاديش، فإن الأطراف في الاتفاقية هي مملكة بوتان، وجمهورية الهند، وجمهورية المالديف، ومملكة نيبال، وجمهورية باكستان الإسلامية، وجمهورية سريلانكا الديمقراطية الاشتراكية.,1.0,0.7272727272727273,0.9615629315376282,0.7237569060773481,5,5,5,2,1,1,success
2002/s/2002/1363/110:1,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,خاص,[OMITTED],both_ال_ة,(أ) الاتفاقية الخاصة بالجرائم وبعض الأفعال الأخرى المرتكبة على متن الطائرات لعام 1963؛,(أ) اتفاقية عام 1963 بشأن الجرائم وبعض الأفعال الأخرى المرتكبة على متن الطائرات؛,1.0,0.7228915662650602,0.9847564101219176,0.7325581395348837,5,5,5,1,1,1,success
2002/s/2002/202/17:1,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,خاص,[OMITTED],both_ال_ة,1 - الاتفاقية الخاصة بالجرائم وبعض الأفعال الأخرى المرتكبة على متن الطائرات؛,الاتفاقية المتعلقة بالجرائم وبعض الأفعال الأخرى المرتكبة على متن الطائرات؛,1.0,0.8783783783783784,0.954293966293335,0.881578947368421,5,5,5,1,1,1,success
2002/s/2002/210/4:1,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,حالة,[OMITTED],exact,وقد وصلت القوة العسكرية الفنلندية (وقوامها 46 فردا) إلى كابول في يومـي 11 و 12 شباط/فبراير 2002، ووضِـعت في حالة تشغيل كامل اعتبارا من 16 شباط/فبراير 2002.,ووصلت الوحدة الفنلندية (46) إلى كابول يومي 11 و 12 شباط/فبراير 2002، وبدأت عملياتها بكامل طاقتها منذ 16 شباط/فبراير 2002.,1.0,0.6622516556291391,0.942113757133484,0.6580645161290323,5,5,4,2,1,1,success
2002/s/2002/239/148:1,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,خاص,[OMITTED],both_ال_ة,1 - الاتفاقية الخاصة بالجرائم وبعض الأفعال الأخرى المرتكبة على متن الطائرات لعام 1993.,1. اتفاقية عام 1963 بشأن الجرائم وبعض الأفعال الأخرى المرتكبة على متن الطائرات؛,1.0,0.6867469879518072,0.9114073514938354,0.6976744186046512,5,5,4,3,1,1,success
2002/s/2002/685/38:2,en_ar_DEEPL,TIER1_CLEAN_A,Total Omission,حالة,[OMITTED],prefix_ال,وأعرب أعضاء المجلس في بيان تلاه الرئيس على الصحافة عن قلقهم العميق إزاء الحالة الإنسانية الخطيرة، نظرا لتسبب القتال الأخير في زيادة الانتهاكات الجسيمة لحقوق الإنسان وتشريد السكان من جديد.,وقد أعرب أعضاء المجلس في بيان أدلى به الرئيس للصحافة عن قلقهم البالغ إزاء الوضع الإنساني الخطير، حيث أدى القتال الأخير إلى زيادة انتهاكات حقوق الإنسان ونزوح جديد للسكان.,1.0,0.6721311475409837,0.9592337608337402,0.6737967914438503,1,5,5,2,1,1,success
2002/s/2002/685/92:2,en_ar_DEEPL,TIER1_CLEAN_A,Total Omission,حالة,[OMITTED],prefix_ال,وتبادل الأعضاء وجهات نظر عامة بشأن عدد من المسائل، وهي الحالة في الضفة الغربية وقطاع غزة، بما في ذلك الحاجة المستعجلة لإعادة بناء الهياكل الأساسية للسلطة الفلسطينية وإصلاحها من خلال دعم قوي من الجهات المانحة، والحالة عبر الخط الأزرق، ومختلف الجهود الدبلوماسية الجارية، بما فيها التحضير لعقد مؤتمر دولي بشأن الشرق الأوسط.,وأجرى أعضاء المجلس تبادلا عاما للآراء حول عدد من القضايا، وهي الوضع في الضفة الغربية وقطاع غزة، بما في ذلك الحاجة الملحة لإعادة بناء وإصلاح البنية التحتية للسلطة الفلسطينية من خلال دعم قوي من المانحين، والوضع عبر الخط الأزرق، والجهود الدبلوماسية المختلفة الجارية، بما في ذلك التحضيرات لعقد مؤتمر دولي حول الشرق الأوسط.,1.0,0.6761006289308176,0.9658543467521667,0.675,5,5,5,2,1,1,success
2002/s/2002/685/92:2,en_ar_DEEPL,TIER1_CLEAN_A,Total Omission,حالة,[OMITTED],prefix_ال,وتبادل الأعضاء وجهات نظر عامة بشأن عدد من المسائل، وهي الحالة في الضفة الغربية وقطاع غزة، بما في ذلك الحاجة المستعجلة لإعادة بناء الهياكل الأساسية للسلطة الفلسطينية وإصلاحها من خلال دعم قوي من الجهات المانحة، والحالة عبر الخط الأزرق، ومختلف الجهود الدبلوماسية الجارية، بما فيها التحضير لعقد مؤتمر دولي بشأن الشرق الأوسط.,وأجرى أعضاء المجلس تبادلا عاما للآراء حول عدد من القضايا، وهي الوضع في الضفة الغربية وقطاع غزة، بما في ذلك الحاجة الملحة لإعادة بناء وإصلاح البنية التحتية للسلطة الفلسطينية من خلال دعم قوي من المانحين، والوضع عبر الخط الأزرق، والجهود الدبلوماسية المختلفة الجارية، بما في ذلك التحضيرات لعقد مؤتمر دولي حول الشرق الأوسط.,1.0,0.6761006289308176,0.9658543467521667,0.675,5,5,5,2,1,1,success
2002/s/2002/795/64:1,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,خاص,[OMITTED],both_ل_ة,:: الاتفاقية ا لخاصة بالجرائم وبعض الأفعال الأخرى المرتكبة على متن الطائرات (1963)؛,اتفاقية الجرائم وبعض الأفعال الأخرى المرتكبة على متن الطائرات (1963),1.0,0.85,0.9272093772888184,0.8192771084337349,5,5,4,1,1,1,success
2002/s/ac_26/2002/3/427:2,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,خاص,[OMITTED],both_ال_ة,وتخص المطالبة الخسارة المزعومة في الممتلكات مثل الكابلات الكهربائية وكميات الزيت وقطع الغيار التي استخدمتها شركة هيتاشي في أعمال التركيب الخاصة بمشاريع مختلفة في الكويت وكانت وزارة الكهرباء والمياه هي ربّة العمل في جميع هذه المشاريع.,وتتعلق المطالبة بالخسارة المزعومة في الممتلكات، مثل كابلات الطاقة والزيوت وقطع الغيار، التي استخدمتها شركة هيتاشي في أعمال التركيب في مشاريع مختلفة في الكويت. وكانت وزارة الكهرباء والمياه هي صاحب العمل في كل هذه المشاريع.,1.0,0.8478260869565217,0.9788164496421814,0.8369098712446352,5,5,4,2,1,1,success
2002/s/ac_26/2002/33/1196:2,en_ar_DEEP,TIER1_CLEAN_A,Terminology Substitution,المعنية,ذات الصلة,exact,ويعتمد استرداد هذه الودائع على الحصول على تصريح بتصدير المصنع أو المركبات أو المعدات المعنية.,ويعتمد استرداد هذه الرواسب على الحصول على إذن لتصدير المصانع والمركبات والمعدات ذات الصلة.,1.0,0.8255813953488372,0.8800408244132996,0.7634408602150538,5,5,4,2,1,1,success
2002/s/agenda/4537/4:1,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,حالة,[OMITTED],prefix_ال,2 - الحالة في تيمور الشرقية.,2. الوضع في تيمور الشرقية,1.0,0.76,0.9195135831832886,0.75,5,5,5,1,1,1,success
2002/s/agenda/4539/4:1,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,حالة,[OMITTED],prefix_ال,2 - الحالة في سيراليون.,2. الوضع في سيراليون.,1.0,0.7619047619047619,0.9609196782112122,0.7391304347826086,5,5,5,1,1,1,success
2002/s/agenda/4546/4:1,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,حالة,[OMITTED],prefix_ال,2 - الحالة في الشرق الأوسط,2. الوضع في الشرق الأوسط,1.0,0.7916666666666666,0.9726656675338744,0.7692307692307692,5,5,5,1,1,1,success
2002/s/agenda/4659/2:1,en_ar_DEEPL,TIER1_CLEAN_A,Total Omission,خاص,[OMITTED],suffix_ة,المقرر عقدها كجلسة خاصة يوم الاثنين، 9 كانون الأول/ديسمبر 2002، الساعة 41/16,المقرر عقدها يوم الاثنين، 9 كانون الأول/ديسمبر 2002، الساعة 41/16 بعد الظهر,1.0,0.76,0.8849592208862305,0.7236842105263157,5,5,4,2,1,1,success
2002/s/prst/2002/41/7:1,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,تابع,[OMITTED],both_ال_ة,"""ويلاحظ مجلس الأمن أن عددا من العقبات ينال من الجهود المبذولة من أجل تأمين وصول الوكالات الإنسانية ووكالات الأمم المتحدة إلى الأشخاص المحتاجين، بما في ذلك الهجمات الموجهة ضد الأفراد العاملين في المجال الإنساني، ورفض السلطات السماح بالمرور وعدم العمل بشكل منظم مع الأطراف غير التابعة للدولة.","""ويلاحظ مجلس الأمن أن هناك عددا من العوائق يقوض الجهود الرامية إلى تأمين وصول الوكالات الإنسانية ووكالات الأمم المتحدة إلى الأشخاص المحتاجين، بما في ذلك الهجمات على العاملين في المجال الإنساني، ومنع السلطات من الوصول، وعدم التعامل بشكل منظم مع الجهات الفاعلة من غير الدول.",1.0,0.7342657342657343,0.9682404398918152,0.7344827586206897,5,5,4,3,1,1,success
2002/s/pv_4583/34:1,en_ar_DEEPL,TIER1_CLEAN_A,Total Omission,حالة,[OMITTED],prefix_ال,الحالة المتعلقة بجمهورية الكونغو الديمقراطية.,الوضع المتعلق بجمهورية الكونغو الديمقراطية.,1.0,0.9069767441860466,0.9646732211112976,0.8888888888888888,5,5,5,1,1,1,success
2002/s/pv_4583/49:1,en_ar_DEEP,TIER1_CLEAN_A,Terminology Substitution,يهيب,يدعو,prefix_و,"""ويعرب مجلس الأمن أيضا عن قلقه إزاء التوترات المتزايدة في منطقة إتوري ويهيب بجميع الأطراف ممارسة ضبط النفس.","""ويعرب مجلس الأمن أيضا عن قلقه إزاء تصاعد التوترات في منطقة إيتوري ويدعو جميع الأطراف إلى ممارسة ضبط النفس.",1.0,0.8155339805825242,0.9884081482887268,0.794392523364486,5,5,5,2,1,1,success
2002/s/res/1452_2002_/5:1,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,بموجب,[OMITTED],exact,وإذ يعرب عن تصميمه على تيسير تنفيذ الالتزام بمكافحة الإرهاب بموجب قرارات مجلس الأمن ذات الصلة،,وإذ يعرب عن تصميمه على تسهيل تنفيذ التزامات مكافحة الإرهاب وفقا لقرارات مجلس الأمن ذات الصلة،,1.0,0.8602150537634409,0.980554223060608,0.851063829787234,5,5,5,1,1,1,success
2002/s/res/1452_2002_/8:1,en_ar_TRANSFORMERS,TIER1_CLEAN_A,Total Omission,الأخرى,[OMITTED],exact,1 - يقرر أن أحكام الفقرة 4 (ب) من القرار 1267 (1999) والفقرتين 1 و 2 (أ) من القرار 1390 (2002) لا تنطبق على الأموال والأصول المالية أو الموارد الاقتصادية الأخرى التي تقرر الدولة (الدول) المعنية أنها:,1 - يقرر ألا تسري أحكام الفقرة 4 (ب) من القرار 1267 (1999) والفقرتين 1 و 2 (أ) من القرار 1390 (2002) على الأموال وغيرها من الأصول المالية أو الموارد الاقتصادية التي تقرر الدولة (الدول) المعنية أنها:,1.0,0.8686868686868687,0.9873664379119872,0.8391959798994975,4,4,4,2,1,1,success
